Configuration	Term	J	g	Level (cm-1)
"1s"	"2S"	"1/2"	2	" 0."	
"2p"	"2P*"	"1/2"	2	"(9971484.9)"	
"2s"	"2S"	"1/2"	2	"(9971713.8)"	
"2p"	"2P*"	"3/2"	4	"(9976865.74)"	
"3p"	"2P*"	"1/2"	2	"(11819964.44)"	
"3s"	"2S"	"1/2"	2	"(11820032.92)"	
"3d"	"2D"	"3/2"	4	"(11821556.228)"	
"3p"	"2P*"	"3/2"	4	"(11821558.94)"	
"3d"	"2D"	"5/2"	6	"(11822086.160)"	
"4p"	"2P*"	"1/2"	2	"(12466713.33)"	
"4s"	"2S"	"1/2"	2	"(12466742.32)"	
"4d"	"2D"	"3/2"	4	"(12467384.762)"	
"4p"	"2P*"	"3/2"	4	"(12467385.92)"	
"4f"	"2F*"	"5/2"	6	"(12467607.953)"	
"4d"	"2D"	"5/2"	6	"(12467608.357)"	
"4f"	"2F*"	"7/2"	8	"(12467719.668)"	
"5p"	"2P*"	"1/2"	2	"(12765972.25)"	
"5s"	"2S"	"1/2"	2	"(12765987.11)"	
"5d"	"2D"	"3/2"	4	"(12766315.956)"	
"5p"	"2P*"	"3/2"	4	"(12766316.554)"	
"5f"	"2F*"	"5/2"	6	"(12766430.230)"	
"5d"	"2D"	"5/2"	6	"(12766430.438)"	
"5g"	"2G"	"7/2"	8	"(12766487.3241)"	
"5f"	"2F*"	"7/2"	8	"(12766487.433)"	
"5g"	"2G"	"9/2"	10	"(12766521.6355)"	
"6p"	"2P*"	"1/2"	2	"(12928493.652)"	
"6s"	"2S"	"1/2"	2	"(12928502.263)"	
"6d"	"2D"	"3/2"	4	"(12928692.533)"	
"6p"	"2P*"	"3/2"	4	"(12928692.883)"	
"6f"	"2F*"	"5/2"	6	"(12928758.662)"	
"6d"	"2D"	"5/2"	6	"(12928758.783)"	
"6g"	"2G"	"7/2"	8	"(12928791.7031)"	
"6f"	"2F*"	"7/2"	8	"(12928791.766)"	
"6h"	"2H*"	"9/2"	10	"(12928811.5212)"	
"6g"	"2G"	"9/2"	10	"(12928811.5601)"	
"6h"	"2H*"	"11/2"	12	"(12928824.7572)"	
"7p"	"2P*"	"1/2"	2	"(13026470.906)"	
"7s"	"2S"	"1/2"	2	"(13026476.331)"	
"7d"	"2D"	"3/2"	4	"(13026596.135)"	
"7p"	"2P*"	"3/2"	4	"(13026596.357)"	
"7f"	"2F*"	"5/2"	6	"(13026637.778)"	
"7d"	"2D"	"5/2"	6	"(13026637.854)"	
"7g"	"2G"	"7/2"	8	"(13026658.5849)"	
"7f"	"2F*"	"7/2"	8	"(13026658.625)"	
"7h"	"2H*"	"9/2"	10	"(13026671.0654)"	
"7g"	"2G"	"9/2"	10	"(13026671.0899)"	
"7i"	"2I"	"11/2"	12	"(13026679.38415)"	
"7h"	"2H*"	"11/2"	12	"(13026679.40084)"	
"7i"	"2I"	"13/2"	14	"(13026685.33754)"	
""	"Limit"	"---"	1	"(13297680)"	
